,UT,0,1,2
231,2-S2.0-84941190767,0.6400130659403575,0.1139711854008677,0.11290004984334863
232,2-S2.0-84878011674,0.8751173526816638,0.0689943718247113,0.05588827549362498
233,2-S2.0-84923495413,0.8373196714243594,0.08942126519202664,0.07325906338361395
234,2-S2.0-84884257424,0.5309705934709729,0.12321572096759291,0.12342521847478051
235,2-S2.0-85100414145,1.0,2.47180383494842e-309,2.0247509696714e-309
236,2-S2.0-79955058134,0.12602219375875479,0.1171370436702879,0.37358575966064556
237,2-S2.0-84878887963,0.1467233318227518,0.11124366345445802,0.41951388944255685
238,2-S2.0-80053311554,1.0,2.78886238541132e-309,2.34476869876952e-309
239,2-S2.0-22544488126,0.04676448642081809,0.03885397262806715,0.9075096642047136
240,2-S2.0-85041740828,0.5540497755867473,0.12546436916543843,0.12439245838277918
241,2-S2.0-85098147104,0.9631327456491088,0.02024049247719862,0.016626761873692573
242,2-S2.0-84983294255,0.8797672112899388,0.0669283466598459,0.05330444205021525
243,2-S2.0-31944450165,3.02212302526633e-309,2.317606931857763e-309,1.0
244,2-S2.0-0036721715,0.026993037255681748,0.021897839142664268,0.9511091236016539
245,2-S2.0-85109527495,1.0,2.54324172164289e-309,2.1363065967887e-309
246,2-S2.0-84927689904,0.9256558612555597,0.03900836294374459,0.03533577580069565
247,2-S2.0-85071100137,0.9626534853904959,0.02084223102397516,0.016504283585528925
248,2-S2.0-85110643018,0.5793557343739733,0.11373666506779301,0.11452336309014002
249,2-S2.0-85079102100,1.0,2.56535015091721e-309,2.091587528733146e-309
250,2-S2.0-84937868409,0.8577567784581048,0.08108762054700665,0.06115560099488845
251,2-S2.0-84948101593,0.8439637504445885,0.09145956644507941,0.06457668311033214
252,2-S2.0-85049303908,1.0,2.54810049021484e-309,2.11574283631738e-309
253,2-S2.0-0036868098,0.12734583931563256,0.11318172621616131,0.46198054626655366
254,2-S2.0-84978324146,0.919525442842026,0.04355860847101284,0.03691594868696114
255,2-S2.0-74949133946,0.9519077166152253,0.026347640986219605,0.02174464239855512
256,2-S2.0-85054261475,0.9908317007285039,0.005051807939098064,0.004116491332398035
257,2-S2.0-85032034853,0.9050537379617608,0.053098243220921874,0.04184801881731734
258,2-S2.0-85045561511,0.9234785447816524,0.04159966507226956,0.0349217901460781
259,2-S2.0-85058434902,1.0,2.50925581920656e-309,2.087452220978295e-309
260,2-S2.0-84903887885,0.49508705381479384,0.11297148073668467,0.11783916749035774
261,2-S2.0-84861141898,0.8804817378890959,0.06205090672782293,0.05746735538308113
262,2-S2.0-33749997215,0.9135430893464053,0.04706525075714769,0.03939165989644708
263,2-S2.0-84929105002,0.8345447782509711,0.0973173223458828,0.06813789940314614
264,2-S2.0-84866900326,1.0,2.49636626209828e-309,2.178807002671114e-309
265,2-S2.0-79956286782,0.9466473213790311,0.028962390487041568,0.024390288133927275
266,2-S2.0-84887210357,0.9045410417771076,0.05205788659674429,0.04340107162614811
267,2-S2.0-84965143651,0.9574372089808361,0.022144071103602583,0.020418719915561375
268,2-S2.0-85078723984,1.0,3.053656920206223e-309,2.441873841516607e-309
269,2-S2.0-41749112860,0.13046732478029538,0.11450220935120803,0.39751637153607167
270,2-S2.0-84904213191,0.6156760169414892,0.11435760207342276,0.1139075795392473
271,2-S2.0-84863322280,1.0,2.559243390613737e-309,2.07868743416624e-309
272,2-S2.0-79955933425,0.1190488513366069,0.10271581974959908,0.5904824964592126
273,2-S2.0-84950325673,0.9902784264278581,0.005356115737521689,0.0043654578346202545
